,,,,MB-clonallines-nla-karyo-plate2c7_152,MB-clonallines-nla-karyo-plate2c7_158,MB-clonallines-nla-karyo-plate2c7_148,MB-clonallines-nla-karyo-plate2c7_146,MB-clonallines-nla-karyo-plate2c7_144,MB-clonallines-nla-karyo-plate2c7_156,MB-clonallines-nla-karyo-plate2c7_150,MB-clonallines-nla-karyo-plate2c7_154,MB-clonallines-nla-karyo-plate2c7_155,MB-clonallines-nla-karyo-plate2c7_170,MB-clonallines-nla-karyo-plate2c7_101,MB-clonallines-nla-karyo-plate2c7_111,MB-clonallines-nla-karyo-plate2c7_130,MB-clonallines-nla-karyo-plate2c7_134,MB-clonallines-nla-karyo-plate2c7_14,MB-clonallines-nla-karyo-plate2c7_131,MB-clonallines-nla-karyo-plate2c7_153,MB-clonallines-nla-karyo-plate2c7_8,MB-clonallines-nla-karyo-plate2c7_7,MB-clonallines-nla-karyo-plate2c7_168,MB-clonallines-nla-karyo-plate2c7_192,MB-clonallines-nla-karyo-plate2c7_120,MB-clonallines-nla-karyo-plate2c7_26,MB-clonallines-nla-karyo-plate2c7_122,MB-clonallines-nla-karyo-plate2c7_172,MB-clonallines-nla-karyo-plate2c7_6,MB-clonallines-nla-karyo-plate2c7_35,MB-clonallines-nla-karyo-plate2c7_32,MB-clonallines-nla-karyo-plate2c7_99,MB-clonallines-nla-karyo-plate2c7_73,MB-clonallines-nla-karyo-plate2c7_159,MB-clonallines-nla-karyo-plate2c7_145,MB-clonallines-nla-karyo-plate2c7_24,MB-clonallines-nla-karyo-plate2c7_33,MB-clonallines-nla-karyo-plate2c7_123,MB-clonallines-nla-karyo-plate2c7_2,MB-clonallines-nla-karyo-plate2c7_38,MB-clonallines-nla-karyo-plate2c7_75,MB-clonallines-nla-karyo-plate2c7_103,MB-clonallines-nla-karyo-plate2c7_128,MB-clonallines-nla-karyo-plate2c7_109,MB-clonallines-nla-karyo-plate2c7_5,MB-clonallines-nla-karyo-plate2c7_34,MB-clonallines-nla-karyo-plate2c7_82,MB-clonallines-nla-karyo-plate2c7_174,MB-clonallines-nla-karyo-plate2c7_9,MB-clonallines-nla-karyo-plate2c7_3,MB-clonallines-nla-karyo-plate2c7_15,MB-clonallines-nla-karyo-plate2c7_17,MB-clonallines-nla-karyo-plate2c7_132,MB-clonallines-nla-karyo-plate2c7_80,MB-clonallines-nla-karyo-plate2c7_56,MB-clonallines-nla-karyo-plate2c7_76,MB-clonallines-nla-karyo-plate2c7_1,MB-clonallines-nla-karyo-plate2c7_25,MB-clonallines-nla-karyo-plate2c7_107,MB-clonallines-nla-karyo-plate2c7_124,MB-clonallines-nla-karyo-plate2c7_92,MB-clonallines-nla-karyo-plate2c7_178,MB-clonallines-nla-karyo-plate2c7_157,MB-clonallines-nla-karyo-plate2c7_12,MB-clonallines-nla-karyo-plate2c7_133,MB-clonallines-nla-karyo-plate2c7_28,MB-clonallines-nla-karyo-plate2c7_312,MB-clonallines-nla-karyo-plate2c7_31,MB-clonallines-nla-karyo-plate2c7_18,MB-clonallines-nla-karyo-plate2c7_36,MB-clonallines-nla-karyo-plate2c7_84,MB-clonallines-nla-karyo-plate2c7_29,MB-clonallines-nla-karyo-plate2c7_176,MB-clonallines-nla-karyo-plate2c7_13,MB-clonallines-nla-karyo-plate2c7_58,MB-clonallines-nla-karyo-plate2c7_125,MB-clonallines-nla-karyo-plate2c7_30,MB-clonallines-nla-karyo-plate2c7_83,MB-clonallines-nla-karyo-plate2c7_77,MB-clonallines-nla-karyo-plate2c7_104,MB-clonallines-nla-karyo-plate2c7_19,MB-clonallines-nla-karyo-plate2c7_106,MB-clonallines-nla-karyo-plate2c7_4,MB-clonallines-nla-karyo-plate2c7_147,MB-clonallines-nla-karyo-plate2c7_79,MB-clonallines-nla-karyo-plate2c7_20,MB-clonallines-nla-karyo-plate2c7_10,MB-clonallines-nla-karyo-plate2c7_105,MB-clonallines-nla-karyo-plate2c7_50,MB-clonallines-nla-karyo-plate2c7_97,MB-clonallines-nla-karyo-plate2c7_149,MB-clonallines-nla-karyo-plate2c7_151,MB-clonallines-nla-karyo-plate2c7_182,MB-clonallines-nla-karyo-plate2c7_85,MB-clonallines-nla-karyo-plate2c7_96,MB-clonallines-nla-karyo-plate2c7_52,MB-clonallines-nla-karyo-plate2c7_121,MB-clonallines-nla-karyo-plate2c7_86,MB-clonallines-nla-karyo-plate2c7_141,MB-clonallines-nla-karyo-plate2c7_78,MB-clonallines-nla-karyo-plate2c7_48,MB-clonallines-nla-karyo-plate2c7_127,MB-clonallines-nla-karyo-plate2c7_87,MB-clonallines-nla-karyo-plate2c7_54,MB-clonallines-nla-karyo-plate2c7_27,MB-clonallines-nla-karyo-plate2c7_74,MB-clonallines-nla-karyo-plate2c7_44,MB-clonallines-nla-karyo-plate2c7_180,MB-clonallines-nla-karyo-plate2c7_126,MB-clonallines-nla-karyo-plate2c7_11,MB-clonallines-nla-karyo-plate2c7_118,MB-clonallines-nla-karyo-plate2c7_21,MB-clonallines-nla-karyo-plate2c7_81,MB-clonallines-nla-karyo-plate2c7_39
None,11,6750000,7000000,22.0,66.0,59.0,34.0,22.0,11.0,20.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,6750000,7000000,8.0,17.0,18.0,14.0,28.0,8.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,7000000,7250000,34.0,78.0,80.0,22.0,79.0,18.0,33.0,22.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,7000000,7250000,12.0,48.0,38.0,8.0,12.0,6.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,7250000,7500000,4.0,4.0,16.0,10.0,10.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,7250000,7500000,23.0,89.0,75.0,44.0,53.0,16.0,20.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,7500000,7750000,26.0,80.0,68.0,22.0,43.0,18.0,36.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,7500000,7750000,4.0,20.0,32.0,6.0,10.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,7750000,8000000,26.0,44.0,66.0,8.0,43.0,22.0,18.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,7750000,8000000,10.0,16.0,18.0,8.0,14.0,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,8000000,8250000,28.0,68.0,89.0,39.0,49.0,17.0,43.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,8000000,8250000,4.0,30.0,20.0,4.0,16.0,10.0,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,8250000,8500000,40.0,101.0,100.0,50.0,79.0,25.0,19.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,8500000,8750000,38.0,126.0,122.0,49.0,82.0,30.0,24.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,8750000,9000000,38.0,72.0,84.0,45.0,74.0,20.0,23.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,8750000,9000000,12.0,34.0,34.0,12.0,22.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,9000000,9250000,10.0,16.0,28.0,16.0,30.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,9000000,9250000,26.0,91.0,113.0,52.0,58.0,25.0,24.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,9250000,9500000,52.0,72.0,91.0,41.0,56.0,34.0,25.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,9500000,9750000,28.0,92.0,101.0,43.0,36.0,20.0,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,9500000,9750000,2.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,9750000,10000000,24.0,44.0,74.0,40.0,50.0,19.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,9750000,10000000,2.0,2.0,8.0,2.0,8.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,10000000,10250000,6.0,30.0,6.0,10.0,18.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,10000000,10250000,16.0,43.0,40.0,12.0,47.0,20.0,11.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,10250000,10500000,8.0,39.0,47.0,18.0,33.0,14.0,22.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,10500000,10750000,2.0,6.0,4.0,,12.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,10500000,10750000,10.0,62.0,48.0,24.0,55.0,20.0,38.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,10750000,11000000,28.0,82.0,86.0,21.0,73.0,32.0,25.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,11000000,11250000,16.0,58.0,53.0,19.0,40.0,22.0,12.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,11000000,11250000,12.0,24.0,26.0,6.0,18.0,4.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,11250000,11500000,37.0,62.0,41.0,27.0,53.0,6.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,11500000,11750000,24.0,81.0,116.0,47.0,81.0,17.0,42.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,11750000,12000000,4.0,22.0,2.0,4.0,6.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,11750000,12000000,28.0,119.0,118.0,38.0,97.0,32.0,38.0,31.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,12000000,12250000,12.0,66.0,102.0,18.0,74.0,19.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,12000000,12250000,4.0,10.0,6.0,8.0,8.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,12250000,12500000,37.0,90.0,99.0,26.0,75.0,38.0,37.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,12250000,12500000,10.0,12.0,10.0,6.0,6.0,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,12500000,12750000,26.0,73.0,70.0,42.0,44.0,28.0,12.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,12750000,13000000,26.0,48.0,61.0,24.0,38.0,8.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,12750000,13000000,2.0,24.0,36.0,10.0,18.0,16.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,13000000,13250000,15.0,68.0,56.0,19.0,44.0,20.0,24.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,13000000,13250000,3.0,14.0,24.0,8.0,10.0,4.0,8.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,13250000,13500000,20.0,55.0,74.0,29.0,35.0,20.0,22.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,13500000,13750000,18.0,45.0,42.0,24.0,38.0,14.0,30.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,13750000,14000000,16.0,35.0,49.0,18.0,22.0,12.0,18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,14000000,14250000,12.0,26.0,52.0,28.0,35.0,8.0,9.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,14000000,14250000,8.0,11.0,6.0,4.0,6.0,8.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,14250000,14500000,22.0,47.0,54.0,17.0,32.0,28.0,16.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,14250000,14500000,2.0,12.0,8.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,14500000,14750000,17.0,39.0,41.0,17.0,41.0,18.0,16.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,14500000,14750000,4.0,12.0,4.0,18.0,20.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,14750000,15000000,10.0,37.0,46.0,16.0,25.0,17.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,14750000,15000000,4.0,4.0,16.0,4.0,22.0,4.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,15000000,15250000,2.0,4.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,15000000,15250000,13.0,26.0,64.0,16.0,35.0,14.0,11.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,15250000,15500000,10.0,45.0,42.0,21.0,42.0,17.0,18.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,15500000,15750000,12.0,74.0,62.0,32.0,58.0,14.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,15750000,16000000,25.0,54.0,40.0,26.0,37.0,18.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,16000000,16250000,14.0,73.0,59.0,39.0,51.0,6.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,16250000,16500000,23.0,90.0,74.0,26.0,59.0,18.0,16.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,16500000,16750000,34.0,85.0,105.0,30.0,61.0,29.0,25.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,16750000,17000000,31.0,92.0,88.0,54.0,81.0,26.0,38.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,17000000,17250000,44.0,79.0,98.0,26.0,65.0,20.0,28.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,17250000,17500000,34.0,86.0,91.0,51.0,82.0,28.0,22.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,17500000,17750000,12.0,67.0,39.0,18.0,28.0,18.0,22.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,17500000,17750000,14.0,46.0,20.0,4.0,12.0,12.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,17750000,18000000,8.0,33.0,30.0,19.0,26.0,13.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,17750000,18000000,20.0,42.0,52.0,12.0,22.0,16.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,18000000,18250000,12.0,36.0,46.0,16.0,38.0,14.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,18000000,18250000,11.0,29.0,44.0,17.0,22.0,2.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,18250000,18500000,11.0,30.0,26.0,16.0,22.0,6.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,18250000,18500000,14.0,52.0,54.0,24.0,22.0,18.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,11,18500000,18750000,20.0,54.0,70.0,18.0,62.0,24.0,18.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,11,18500000,18750000,4.0,49.0,40.0,20.0,35.0,8.0,10.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
