,,,,MB-clonallines-nla-karyo-plate1c1_30,MB-clonallines-nla-karyo-plate1c1_38,MB-clonallines-nla-karyo-plate1c1_32,MB-clonallines-nla-karyo-plate1c1_24,MB-clonallines-nla-karyo-plate1c1_34,MB-clonallines-nla-karyo-plate1c1_28,MB-clonallines-nla-karyo-plate1c1_36,MB-clonallines-nla-karyo-plate1c1_26,MB-clonallines-nla-karyo-plate1c1_78,MB-clonallines-nla-karyo-plate1c1_99,MB-clonallines-nla-karyo-plate1c1_27,MB-clonallines-nla-karyo-plate1c1_107,MB-clonallines-nla-karyo-plate1c1_109,MB-clonallines-nla-karyo-plate1c1_33,MB-clonallines-nla-karyo-plate1c1_39,MB-clonallines-nla-karyo-plate1c1_50,MB-clonallines-nla-karyo-plate1c1_144,MB-clonallines-nla-karyo-plate1c1_130,MB-clonallines-nla-karyo-plate1c1_29,MB-clonallines-nla-karyo-plate1c1_58,MB-clonallines-nla-karyo-plate1c1_77,MB-clonallines-nla-karyo-plate1c1_197,MB-clonallines-nla-karyo-plate1c1_105,MB-clonallines-nla-karyo-plate1c1_103,MB-clonallines-nla-karyo-plate1c1_97,MB-clonallines-nla-karyo-plate1c1_111,MB-clonallines-nla-karyo-plate1c1_101,MB-clonallines-nla-karyo-plate1c1_102,MB-clonallines-nla-karyo-plate1c1_48,MB-clonallines-nla-karyo-plate1c1_56,MB-clonallines-nla-karyo-plate1c1_159,MB-clonallines-nla-karyo-plate1c1_35,MB-clonallines-nla-karyo-plate1c1_146,MB-clonallines-nla-karyo-plate1c1_54,MB-clonallines-nla-karyo-plate1c1_75,MB-clonallines-nla-karyo-plate1c1_73,MB-clonallines-nla-karyo-plate1c1_4,MB-clonallines-nla-karyo-plate1c1_125,MB-clonallines-nla-karyo-plate1c1_15,MB-clonallines-nla-karyo-plate1c1_128,MB-clonallines-nla-karyo-plate1c1_131,MB-clonallines-nla-karyo-plate1c1_17,MB-clonallines-nla-karyo-plate1c1_31,MB-clonallines-nla-karyo-plate1c1_81,MB-clonallines-nla-karyo-plate1c1_86,MB-clonallines-nla-karyo-plate1c1_100,MB-clonallines-nla-karyo-plate1c1_148,MB-clonallines-nla-karyo-plate1c1_158,MB-clonallines-nla-karyo-plate1c1_154,MB-clonallines-nla-karyo-plate1c1_52,MB-clonallines-nla-karyo-plate1c1_80,MB-clonallines-nla-karyo-plate1c1_76,MB-clonallines-nla-karyo-plate1c1_98,MB-clonallines-nla-karyo-plate1c1_122,MB-clonallines-nla-karyo-plate1c1_127,MB-clonallines-nla-karyo-plate1c1_1,MB-clonallines-nla-karyo-plate1c1_25,MB-clonallines-nla-karyo-plate1c1_132,MB-clonallines-nla-karyo-plate1c1_8,MB-clonallines-nla-karyo-plate1c1_74,MB-clonallines-nla-karyo-plate1c1_79,MB-clonallines-nla-karyo-plate1c1_85,MB-clonallines-nla-karyo-plate1c1_104,MB-clonallines-nla-karyo-plate1c1_82,MB-clonallines-nla-karyo-plate1c1_156,MB-clonallines-nla-karyo-plate1c1_106,MB-clonallines-nla-karyo-plate1c1_87,MB-clonallines-nla-karyo-plate1c1_168,MB-clonallines-nla-karyo-plate1c1_126,MB-clonallines-nla-karyo-plate1c1_13,MB-clonallines-nla-karyo-plate1c1_20,MB-clonallines-nla-karyo-plate1c1_134,MB-clonallines-nla-karyo-plate1c1_150,MB-clonallines-nla-karyo-plate1c1_120,MB-clonallines-nla-karyo-plate1c1_5,MB-clonallines-nla-karyo-plate1c1_155,MB-clonallines-nla-karyo-plate1c1_84,MB-clonallines-nla-karyo-plate1c1_42,MB-clonallines-nla-karyo-plate1c1_9,MB-clonallines-nla-karyo-plate1c1_37,MB-clonallines-nla-karyo-plate1c1_16,MB-clonallines-nla-karyo-plate1c1_108,MB-clonallines-nla-karyo-plate1c1_96,MB-clonallines-nla-karyo-plate1c1_152,MB-clonallines-nla-karyo-plate1c1_124,MB-clonallines-nla-karyo-plate1c1_72,MB-clonallines-nla-karyo-plate1c1_147,MB-clonallines-nla-karyo-plate1c1_121,MB-clonallines-nla-karyo-plate1c1_157,MB-clonallines-nla-karyo-plate1c1_12,MB-clonallines-nla-karyo-plate1c1_14,MB-clonallines-nla-karyo-plate1c1_235,MB-clonallines-nla-karyo-plate1c1_83,MB-clonallines-nla-karyo-plate1c1_23,MB-clonallines-nla-karyo-plate1c1_133,MB-clonallines-nla-karyo-plate1c1_145,MB-clonallines-nla-karyo-plate1c1_153,MB-clonallines-nla-karyo-plate1c1_18,MB-clonallines-nla-karyo-plate1c1_135,MB-clonallines-nla-karyo-plate1c1_110,MB-clonallines-nla-karyo-plate1c1_6,MB-clonallines-nla-karyo-plate1c1_129
None,2,143750000,144000000,28.0,41.0,54.0,29.0,44.0,10.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,143750000,144000000,12.0,17.0,28.0,8.0,14.0,4.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,143750000,144000000,12.0,16.0,18.0,12.0,18.0,6.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,144000000,144250000,14.0,36.0,34.0,20.0,26.0,8.0,12.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,144000000,144250000,28.0,22.0,47.0,14.0,24.0,12.0,29.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,144000000,144250000,12.0,22.0,42.0,24.0,36.0,6.0,12.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,144250000,144500000,37.0,26.0,50.0,18.0,8.0,12.0,23.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,144250000,144500000,30.0,12.0,26.0,30.0,18.0,18.0,18.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,144250000,144500000,22.0,18.0,30.0,14.0,22.0,8.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,144500000,144750000,18.0,26.0,30.0,22.0,28.0,12.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,144500000,144750000,30.0,30.0,46.0,14.0,31.0,5.0,27.0,22.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,144500000,144750000,20.0,14.0,34.0,16.0,26.0,14.0,16.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,144750000,145000000,12.0,14.0,41.0,14.0,12.0,6.0,12.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,144750000,145000000,27.0,29.0,34.0,16.0,20.0,13.0,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,144750000,145000000,18.0,29.0,32.0,22.0,12.0,2.0,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,145000000,145250000,35.0,38.0,47.0,35.0,26.0,22.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,145000000,145250000,18.0,12.0,30.0,10.0,18.0,,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,145000000,145250000,10.0,18.0,26.0,14.0,18.0,6.0,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,145250000,145500000,22.0,30.0,44.0,12.0,30.0,12.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,145250000,145500000,24.0,22.0,38.0,16.0,22.0,6.0,24.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,145250000,145500000,21.0,36.0,46.0,13.0,35.0,4.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,145500000,145750000,20.0,30.0,46.0,22.0,24.0,6.0,26.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,145500000,145750000,28.0,28.0,38.0,24.0,32.0,12.0,16.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,145500000,145750000,17.0,31.0,30.0,10.0,20.0,6.0,13.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,145750000,146000000,52.0,45.0,109.0,47.0,53.0,14.0,17.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,145750000,146000000,8.0,6.0,12.0,6.0,6.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,2,145750000,146000000,14.0,10.0,16.0,10.0,16.0,4.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,146000000,146250000,72.0,81.0,116.0,65.0,66.0,37.0,30.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,146250000,146500000,70.0,102.0,104.0,78.0,81.0,22.0,34.0,36.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,146500000,146750000,71.0,92.0,111.0,67.0,64.0,40.0,52.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,146750000,147000000,63.0,69.0,102.0,48.0,72.0,31.0,24.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,147000000,147250000,55.0,74.0,109.0,56.0,65.0,32.0,53.0,43.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,147250000,147500000,59.0,82.0,125.0,56.0,79.0,38.0,45.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,147500000,147750000,60.0,74.0,94.0,69.0,68.0,30.0,63.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,147500000,147750000,2.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,147750000,148000000,29.0,40.0,54.0,30.0,23.0,22.0,34.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,147750000,148000000,24.0,46.0,50.0,22.0,32.0,16.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,148000000,148250000,6.0,6.0,6.0,12.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,148000000,148250000,42.0,79.0,72.0,55.0,63.0,27.0,25.0,38.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,148250000,148500000,88.0,60.0,99.0,48.0,72.0,23.0,51.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,148500000,148750000,46.0,80.0,89.0,60.0,49.0,33.0,53.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,148750000,149000000,57.0,67.0,84.0,43.0,47.0,28.0,19.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,149000000,149250000,44.0,43.0,53.0,28.0,30.0,10.0,20.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,149250000,149500000,40.0,47.0,42.0,42.0,60.0,30.0,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,149500000,149750000,48.0,59.0,92.0,48.0,64.0,28.0,52.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,149750000,150000000,60.0,71.0,77.0,61.0,74.0,30.0,61.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,150000000,150250000,32.0,50.0,65.0,55.0,64.0,14.0,30.0,24.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,150250000,150500000,13.0,26.0,18.0,12.0,22.0,8.0,12.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,150500000,150750000,66.0,74.0,100.0,62.0,73.0,20.0,40.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,150750000,151000000,48.0,40.0,87.0,55.0,62.0,18.0,32.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,150750000,151000000,12.0,16.0,12.0,12.0,12.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,151000000,151250000,18.0,24.0,26.0,12.0,9.0,,12.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,151000000,151250000,4.0,6.0,14.0,,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,151250000,151500000,4.0,6.0,4.0,6.0,2.0,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,151500000,151750000,52.0,81.0,96.0,48.0,57.0,19.0,46.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,151500000,151750000,10.0,6.0,2.0,4.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,151750000,152000000,40.0,67.0,76.0,52.0,62.0,18.0,16.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,151750000,152000000,24.0,22.0,26.0,20.0,16.0,14.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,152000000,152250000,55.0,66.0,72.0,75.0,47.0,16.0,34.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,152000000,152250000,16.0,20.0,28.0,18.0,24.0,12.0,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,152250000,152500000,59.0,68.0,71.0,68.0,55.0,19.0,44.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,152250000,152500000,22.0,8.0,10.0,6.0,12.0,4.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,152500000,152750000,49.0,47.0,76.0,55.0,56.0,24.0,28.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,152500000,152750000,30.0,38.0,34.0,36.0,25.0,2.0,20.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,152750000,153000000,66.0,95.0,95.0,83.0,66.0,37.0,52.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,153000000,153250000,78.0,64.0,108.0,73.0,68.0,40.0,47.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,153000000,153250000,4.0,2.0,2.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,153250000,153500000,60.0,93.0,144.0,53.0,66.0,35.0,64.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,153500000,153750000,35.0,61.0,66.0,46.0,52.0,19.0,30.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,153500000,153750000,4.0,18.0,24.0,6.0,10.0,6.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,153750000,154000000,38.0,52.0,69.0,38.0,51.0,25.0,26.0,31.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,153750000,154000000,16.0,44.0,44.0,20.0,18.0,12.0,16.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,154000000,154250000,44.0,53.0,77.0,41.0,42.0,39.0,43.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,154000000,154250000,6.0,12.0,14.0,10.0,14.0,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,154250000,154500000,31.0,60.0,97.0,50.0,58.0,20.0,28.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,154250000,154500000,2.0,4.0,8.0,10.0,8.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,154500000,154750000,16.0,14.0,22.0,20.0,14.0,12.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,154500000,154750000,48.0,63.0,67.0,64.0,49.0,16.0,48.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,154750000,155000000,33.0,34.0,51.0,18.0,16.0,12.0,31.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,154750000,155000000,36.0,54.0,58.0,32.0,40.0,16.0,32.0,16.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,2,155000000,155250000,28.0,48.0,48.0,34.0,23.0,14.0,36.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,2,155000000,155250000,23.0,30.0,39.0,28.0,35.0,6.0,29.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
